				BA_1	BA_2	BA_3	BA_4	SF_1	SF_2	SF_3	SF_4
ENSBTAG00000017818_MOG	MOG	MOG	MOG	6	0	9	5	0	1	0	0
ENSBTAG00000017819_PMVK	PMVK	PMVK	PMVK	1040	398	645	813	510	218	605	424
ENSBTAG00000017823_CFAP52	CFAP52	CFAP52	CFAP52	0	0	0	0	0	0	0	0
ENSBTAG00000017824_IRF8	IRF8	IRF8	IRF8	5	0	2	7	0	2	0	1
ENSBTAG00000017825_SEC13	SEC13	SEC13	SEC13	422	258	501	277	297	210	522	320
ENSBTAG00000017826_SCLY	SCLY	SCLY	SCLY	135	41	90	49	39	31	79	27
ENSBTAG00000017827_IVL	IVL	IVL	IVL	522	191	750	213	4792	10411	9764	13502
ENSBTAG00000017829	#VALUE!	-	ENSBTAG00000017829	0	0	0	0	0	0	0	0
ENSBTAG00000017830_RBMS2	RBMS2	RBMS2	RBMS2	72	70	100	60	8	11	19	14
ENSBTAG00000017831_ERLIN2	ERLIN2	ERLIN2	ERLIN2	351	296	335	441	98	213	166	159
ENSBTAG00000017832_PDK3	PDK3	PDK3	PDK3	1248	1593	613	2383	489	967	737	782
ENSBTAG00000017833_RNF19A	RNF19A	RNF19A	RNF19A	251	92	184	130	24	90	115	45
ENSBTAG00000017834_PRELP	PRELP	PRELP	PRELP	22	22	12	8	0	0	0	0
ENSBTAG00000017835_C7H5orf63	C7H5orf63	C7H5orf63	C7H5orf63	46	29	39	40	40	35	28	34
ENSBTAG00000017836_ZFP57	ZFP57	ZFP57	ZFP57	6	2	14	7	0	0	0	0
ENSBTAG00000017837_GABRB1	GABRB1	GABRB1	GABRB1	0	0	0	8	0	0	1	0
ENSBTAG00000017839_TIAM1	TIAM1	TIAM1	TIAM1	12	10	11	8	11	12	27	15
ENSBTAG00000017840_BAZ2A	BAZ2A	BAZ2A	BAZ2A	195	90	102	101	160	96	230	131
ENSBTAG00000017843_CD40LG	CD40LG	CD40LG	CD40LG	2	0	0	0	0	0	0	0
ENSBTAG00000017844_STIL	STIL	STIL	STIL	28	7	48	38	22	0	9	8
ENSBTAG00000017845_BAG1	BAG1	BAG1	BAG1	254	459	897	925	544	1527	795	968
ENSBTAG00000017846_F11R	F11R	F11R	F11R	694	416	637	688	689	1014	971	1024
ENSBTAG00000017847_PPP1R12C	PPP1R12C	PPP1R12C	PPP1R12C	0	4	9	13	6	6	11	6
ENSBTAG00000017850_ARHGEF6	ARHGEF6	ARHGEF6	ARHGEF6	0	8	24	0	0	0	0	0
ENSBTAG00000017851_RXRA	RXRA	RXRA	RXRA	165	151	181	160	79	66	113	99
ENSBTAG00000017852_ALDH9A1	ALDH9A1	ALDH9A1	ALDH9A1	490	343	198	240	56	43	23	28
ENSBTAG00000017855_ITM2C	ITM2C	ITM2C	ITM2C	5	6	3	4	0	0	3	0
ENSBTAG00000017856_TSTD1	TSTD1	TSTD1	TSTD1	239	260	182	214	365	510	288	586
ENSBTAG00000017860_HIPK2	HIPK2	HIPK2	HIPK2	3	3	3	1	1	11	18	3
ENSBTAG00000017863_SRGN	SRGN	SRGN	SRGN	378	105	96	151	90	6	627	92
ENSBTAG00000017864_PRPH	PRPH	PRPH	PRPH	1	10	11	8	0	3	4	0
ENSBTAG00000017866_CD36	CD36	CD36	CD36	50	6	42	51	0	3	0	1
ENSBTAG00000017867_YPEL1	YPEL1	YPEL1	YPEL1	24	25	14	22	11	4	21	4
ENSBTAG00000017868_DHX40	DHX40	DHX40	DHX40	156	152	221	247	103	171	122	141
ENSBTAG00000017869_CAV1	CAV1	CAV1	CAV1	220	373	305	219	9	10	20	25
ENSBTAG00000017871_GNA12	GNA12	GNA12	GNA12	57	26	13	8	9	9	16	17
ENSBTAG00000017872_ZNF304	ZNF304	ZNF304	ZNF304	27	60	21	11	18	21	44	28
ENSBTAG00000017873_USF1	USF1	USF1	USF1	174	171	241	120	94	97	157	97
ENSBTAG00000017875_ARHGAP30	ARHGAP30	ARHGAP30	ARHGAP30	42	20	23	0	32	26	41	21
ENSBTAG00000017877_NECTIN4	NECTIN4	NECTIN4	NECTIN4	188	194	303	206	506	1151	1357	1025
ENSBTAG00000017879_C9H6orf163	C9H6orf163	C9H6orf163	C9H6orf163	19	44	13	37	25	4	7	5
ENSBTAG00000017882_LRRC3	LRRC3	LRRC3	LRRC3	5	1	5	0	0	0	0	0
ENSBTAG00000017883_LRRC38	LRRC38	LRRC38	LRRC38	0	0	0	0	0	0	0	0
ENSBTAG00000017884_KCNV2	KCNV2	KCNV2	KCNV2	0	0	0	0	0	0	0	0
ENSBTAG00000017885_ATPSCKMT	ATPSCKMT	ATPSCKMT	ATPSCKMT	121	179	129	200	49	104	163	97
ENSBTAG00000017886_CABP7	CABP7	CABP7	CABP7	0	0	0	0	0	0	0	0
ENSBTAG00000017889_CCT5	CCT5	CCT5	CCT5	1944	1409	1994	1017	546	811	985	851
ENSBTAG00000017890_ZMAT5	ZMAT5	ZMAT5	ZMAT5	66	105	77	72	43	36	90	53
ENSBTAG00000017894_CAD	CAD	CAD	CAD	68	48	90	42	5	5	13	6
ENSBTAG00000017895_CLEC10A	CLEC10A	CLEC10A	CLEC10A	5	0	0	5	10	0	0	0
ENSBTAG00000017901_LAYN	LAYN	LAYN	LAYN	0	0	5	18	0	0	0	0
ENSBTAG00000017905_WDR91	WDR91	WDR91	WDR91	12	25	86	14	11	30	34	24
ENSBTAG00000017907_COG3	COG3	COG3	COG3	118	75	99	100	67	52	79	49
ENSBTAG00000017911_HMX2	HMX2	HMX2	HMX2	1	0	0	0	0	0	0	0
ENSBTAG00000017912_OR7G52	OR7G52	OR7G52	OR7G52	0	0	0	0	0	0	0	0
ENSBTAG00000017913_BUB3	BUB3	BUB3	BUB3	1055	645	1120	773	365	506	547	548
ENSBTAG00000017919_CNOT4	CNOT4	CNOT4	CNOT4	98	24	104	65	37	49	71	66
ENSBTAG00000017921_NELFA	NELFA	NELFA	NELFA	28	12	12	24	4	10	14	10
ENSBTAG00000017922_DOLPP1	DOLPP1	DOLPP1	DOLPP1	112	99	152	109	118	116	141	101
ENSBTAG00000017925_LMF2	LMF2	LMF2	LMF2	109	67	90	86	37	42	64	65
ENSBTAG00000017927_EGFL6	EGFL6	EGFL6	EGFL6	0	0	0	0	0	0	0	0
ENSBTAG00000017929_ACTRT2	ACTRT2	ACTRT2	ACTRT2	0	0	0	0	0	0	0	0
ENSBTAG00000017932_CENATAC	CENATAC	CENATAC	CENATAC	44	7	60	59	16	10	12	9
ENSBTAG00000017936_FRRS1L	FRRS1L	FRRS1L	FRRS1L	0	0	0	0	0	0	0	0
ENSBTAG00000017938	#VALUE!	-	ENSBTAG00000017938	0	0	1	0	0	0	0	0
ENSBTAG00000017939	#VALUE!	-	ENSBTAG00000017939	7	4	25	6	0	12	3	3
ENSBTAG00000017941_NSUN5	NSUN5	NSUN5	NSUN5	77.98	23	81	47	16	9	28	25
ENSBTAG00000017942_CRTC2	CRTC2	CRTC2	CRTC2	32	20	45	35	21	30	41	22
ENSBTAG00000017943_GALNT6	GALNT6	GALNT6	GALNT6	31	11	154	13	20	12	232	57
ENSBTAG00000017945_TCEANC	TCEANC	TCEANC	TCEANC	113	82	57	70	7	49	33	67
ENSBTAG00000017946	#VALUE!	-	ENSBTAG00000017946	0	0	0	0	0	2	21	8
ENSBTAG00000017948_SPIN4	SPIN4	SPIN4	SPIN4	0	0	0	0	0	0	0	0
ENSBTAG00000017950_SLC4A8	SLC4A8	SLC4A8	SLC4A8	0	0	0	0	0	0	0	0
ENSBTAG00000017951_POLD4	POLD4	POLD4	POLD4	122	86	61	100	108	108	114	166
ENSBTAG00000017955_KCNIP3	KCNIP3	KCNIP3	KCNIP3	552	571	191	623	569	806	1170	1081
ENSBTAG00000017956_KCTD15	KCTD15	KCTD15	KCTD15	40	90	43	47	30	38	51	33
ENSBTAG00000017957_SPATA24	SPATA24	SPATA24	SPATA24	76	95	103	84	26	40	13	23
ENSBTAG00000017958_AHI1	AHI1	AHI1	AHI1	58	51	80	48	32	31	58	37
ENSBTAG00000017964_LRRC51	LRRC51	LRRC51	LRRC51	125	112	117	99	10	38	2	27
ENSBTAG00000017967_PTGES3	PTGES3	PTGES3	PTGES3	3185	1709	2913	2008	1428	1643	1159	1438
ENSBTAG00000017969_CA4	CA4	CA4	CA4	170	167	21	99	11	2	8	0
ENSBTAG00000017970_ZYX	ZYX	ZYX	ZYX	222	214	189	228	125	227	289	162
ENSBTAG00000017971_LRFN2	LRFN2	LRFN2	LRFN2	5	0	0	0	0	0	0	0
ENSBTAG00000017976_ABL1	ABL1	ABL1	ABL1	29	26	25	22	11	1	16	26
ENSBTAG00000017978	#VALUE!	-	ENSBTAG00000017978	0	0	0	0	0	0	0	0
ENSBTAG00000017980_QRFP	QRFP	QRFP	QRFP	0	0	0	0	0	0	0	0
ENSBTAG00000017981_ADRB3	ADRB3	ADRB3	ADRB3	0	0	0	0	0	0	0	0
ENSBTAG00000017982_FIBCD1	FIBCD1	FIBCD1	FIBCD1	0	0	0	0	0	0	0	0
ENSBTAG00000017983_PRELID3A	PRELID3A	PRELID3A	PRELID3A	1	0	2	0	1	1	1	0
ENSBTAG00000017986_GLIS1	GLIS1	GLIS1	GLIS1	0	0	0	0	0	0	0	0
ENSBTAG00000017992_CD164	CD164	CD164	CD164	612	348	540	632	436	894	805	914
ENSBTAG00000017994_MAX	MAX	MAX	MAX	53	27	45	32	57	26	72	70
ENSBTAG00000017996_EGLN2	EGLN2	EGLN2	EGLN2	264	258	202	213	65	181	249	153
ENSBTAG00000017999_TNRC6A	TNRC6A	TNRC6A	TNRC6A	126	111	155	152	107	75	106	86
ENSBTAG00000018000_CLN3	CLN3	CLN3	CLN3	83	69	151	65	104	199	221	148
ENSBTAG00000018002_DTX3	DTX3	DTX3	DTX3	85	30	53	25	37	16	25	14
ENSBTAG00000018003_ARHGEF25	ARHGEF25	ARHGEF25	ARHGEF25	3	5	6	1	0	0	0	0
ENSBTAG00000018004_SH3GL3	SH3GL3	SH3GL3	SH3GL3	3.47	10.92	0	7.77	0	0	0	0
ENSBTAG00000018007_NR2F2	NR2F2	NR2F2	NR2F2	26	51	30	32	15	4	18	11
ENSBTAG00000018009	#VALUE!	-	ENSBTAG00000018009	0	0	0	0	0	0	1	0
ENSBTAG00000018010_ABCA4	ABCA4	ABCA4	ABCA4	0	2	6	9	0	0	0	0
ENSBTAG00000018012_IL1F10	IL1F10	IL1F10	IL1F10	0	0	0	0	0	0	0	0
ENSBTAG00000018013_EMP3	EMP3	EMP3	EMP3	65	55	29	51	11	0	7	3
ENSBTAG00000018015_IL27	IL27	IL27	IL27	6	1	2	0	2	0	0	0
ENSBTAG00000018016_NUPR1	NUPR1	NUPR1	NUPR1	11	7	17	14	7	0	1	0
ENSBTAG00000018019_BCL11B	BCL11B	BCL11B	BCL11B	6	3	1	0	0	0	0	0
ENSBTAG00000018020_GNAT1	GNAT1	GNAT1	GNAT1	1	0	0	5	0	0	6	1
ENSBTAG00000018022_SPINDOC	SPINDOC	SPINDOC	SPINDOC	9	18	7	5	3	1	1	2
ENSBTAG00000018024_NR1D2	NR1D2	NR1D2	NR1D2	5	2	20	14	1	11	9	1
ENSBTAG00000018025_IQCG	IQCG	IQCG	IQCG	0	3	0	1	7	0	16	0
ENSBTAG00000018026_LANCL2	LANCL2	LANCL2	LANCL2	150	108	270	218	47	41	53	77
ENSBTAG00000018028_TTLL10	TTLL10	TTLL10	TTLL10	8	5	3	14	19	10	6	9
ENSBTAG00000018031_PODXL2	PODXL2	PODXL2	PODXL2	0	1	1	0	0	0	1	2
ENSBTAG00000018033_PIP4K2A	PIP4K2A	PIP4K2A	PIP4K2A	10	10	18	64	2	2	17	9
ENSBTAG00000018035_TGFBR1	TGFBR1	TGFBR1	TGFBR1	49	42	53	32	0	14	27	3
ENSBTAG00000018036_CNOT7	CNOT7	CNOT7	CNOT7	785	544	868	794	375	460	358	550
ENSBTAG00000018037_PSKH1	PSKH1	PSKH1	PSKH1	135	116	194	171	71	175	116	177
ENSBTAG00000018039	#VALUE!	-	ENSBTAG00000018039	0	0	0	0	0	0	0	0
ENSBTAG00000018040_PSMB10	PSMB10	PSMB10	PSMB10	83	66	72	85	24	11	0	16
ENSBTAG00000018041_ACADSB	ACADSB	ACADSB	ACADSB	2653	2891	830	4613	418	896	384	944
ENSBTAG00000018043_LCAT	LCAT	LCAT	LCAT	44	39	22	63	3	5	0	5
ENSBTAG00000018044_POLR3E	POLR3E	POLR3E	POLR3E	34	37	63	33	25	19	44	8
ENSBTAG00000018045_SLC12A4	SLC12A4	SLC12A4	SLC12A4	223	269	131	269	8	45	24	21
ENSBTAG00000018046_B3GNT2	B3GNT2	B3GNT2	B3GNT2	623	444	297	213	295	258	512	377
ENSBTAG00000018048_MED15	MED15	MED15	MED15	22	25	45	29	20	17	30	10
ENSBTAG00000018049_MKNK2	MKNK2	MKNK2	MKNK2	150	154	93	184	240	186	313	241
ENSBTAG00000018050_CDR2	CDR2	CDR2	CDR2	21	0	13	5	0	0	0	0
ENSBTAG00000018052_PTPRS	PTPRS	PTPRS	PTPRS	59	34	90	65	3	10	0	3
ENSBTAG00000018053_RAB22A	RAB22A	RAB22A	RAB22A	136	165	169	244	228	228	263	199
ENSBTAG00000018054_FABP1	FABP1	FABP1	FABP1	0	0	0	0	0	0	0	0
ENSBTAG00000018057_ZNF621	ZNF621	ZNF621	ZNF621	3	5	2	5	1	2	8	0
ENSBTAG00000018058_SNORC	SNORC	SNORC	SNORC	0	0	0	0	0	0	0	0
ENSBTAG00000018059_CD80	CD80	CD80	CD80	0	0	8	0	0	0	9	1
ENSBTAG00000018060_WDR13	WDR13	WDR13	WDR13	163	133	174	199	65	139	221	134
ENSBTAG00000018061_LNPK	LNPK	LNPK	LNPK	64	46	134	70	23	73	88	92
ENSBTAG00000018062_KIAA1522	KIAA1522	KIAA1522	KIAA1522	5	4	8	3	0	2	6	6
ENSBTAG00000018063_SPATA2	SPATA2	SPATA2	SPATA2	38	72	67	38	49	102	63	156
ENSBTAG00000018064_FAM221A	FAM221A	FAM221A	FAM221A	0	5	9	0	0	0	0	0
ENSBTAG00000018065_YARS1	YARS1	YARS1	YARS1	810	460	586	393	179	340	562	328
ENSBTAG00000018067_S100PBP	S100PBP	S100PBP	S100PBP	174	128	173	114	37	73	78	43
ENSBTAG00000018069_TNFSF15	TNFSF15	TNFSF15	TNFSF15	0	0	0	1	1	0	1	0
ENSBTAG00000018070_SCNM1	SCNM1	SCNM1	SCNM1	64	70	118	106	36	70	91	59
ENSBTAG00000018071_TMOD4	TMOD4	TMOD4	TMOD4	0	1	2	0	0	0	0	0
ENSBTAG00000018072_FARS2	FARS2	FARS2	FARS2	195	185	180	142	68	93	85	52
ENSBTAG00000018073_TSPO	TSPO	TSPO	TSPO	1919	1147	1480	1577	2028	1981	1781	2681
ENSBTAG00000018074_VPS72	VPS72	VPS72	VPS72	146	153	159	265	84	184	170	111
ENSBTAG00000018077_LYPD3	LYPD3	LYPD3	LYPD3	3870	3336	4287	3752	3703	6884	8614	7135
ENSBTAG00000018080	#VALUE!	-	ENSBTAG00000018080	0	0	0	0	0	0	0	0
ENSBTAG00000018082_QPRT	QPRT	QPRT	QPRT	14	37	2	28	19	32	32	11
ENSBTAG00000018084_CASTOR1	CASTOR1	CASTOR1	CASTOR1	186	259	292	200	104	228	218	177
ENSBTAG00000018085_GTSF1	GTSF1	GTSF1	GTSF1	8	0	0	0	3	0	0	10
ENSBTAG00000018086_TBC1D10A	TBC1D10A	TBC1D10A	TBC1D10A	21	29	25	33	8	25	39	17
ENSBTAG00000018088_SETBP1	SETBP1	SETBP1	SETBP1	0	14	2	4	18	10	10	31
ENSBTAG00000018090_ZNF449	ZNF449	ZNF449	ZNF449	0	4.5	0	2	0	0	0	0
ENSBTAG00000018093_KMT2A	KMT2A	KMT2A	KMT2A	22	7	5	25	8	2	0	12
ENSBTAG00000018094_ZNF689	ZNF689	ZNF689	ZNF689	15	38	18	14	0	0	0	2
ENSBTAG00000018097_PARN	PARN	PARN	PARN	371	196	267	384	84	135	158	205
ENSBTAG00000018098	#VALUE!	-	ENSBTAG00000018098	0	0	0	0	0	0	0	0
ENSBTAG00000018101_AHCY	AHCY	AHCY	AHCY	4445	3672	3717	4388	622	939	831	852
ENSBTAG00000018103_HMGB1	HMGB1	HMGB1	HMGB1	4997.59	3283.99	6996.99	4983.82	1026.99	1037	1522.17	1209.09
ENSBTAG00000018105_ACVR2B	ACVR2B	ACVR2B	ACVR2B	2	8	4	8	7	3	0	1
ENSBTAG00000018106_SPATA18	SPATA18	SPATA18	SPATA18	0	6	0	0	0	0	0	0
ENSBTAG00000018108_PXN	PXN	PXN	PXN	19	14	12	14	1	1	2	7
ENSBTAG00000018112_TBL1X	TBL1X	TBL1X	TBL1X	221	195	178	235	230	161	353	228
ENSBTAG00000018114_ACVR2A	ACVR2A	ACVR2A	ACVR2A	79	101	56	13	90	122	41	108
ENSBTAG00000018115_PEBP1	PEBP1	PEBP1	PEBP1	5018.91	4378.99	5056.95	6164.99	775	802	1493.96	1102
ENSBTAG00000018116_MTFP1	MTFP1	MTFP1	MTFP1	204	204	62	180	50	37	14	46
ENSBTAG00000018119_AOAH	AOAH	AOAH	AOAH	11	6	2	4	0	0	0	0
ENSBTAG00000018122_TKDP1	TKDP1	TKDP1	TKDP1	0	0	0	0	0	0	0	0
ENSBTAG00000018123_FBLN5	FBLN5	FBLN5	FBLN5	17	59	25	13	0	0	0	0
ENSBTAG00000018125_KIF5C	KIF5C	KIF5C	KIF5C	0	0	0	0	3	0	0	0
ENSBTAG00000018126_VPS53	VPS53	VPS53	VPS53	116	38	68	56	25	106	113	63
ENSBTAG00000018127_PPM1A	PPM1A	PPM1A	PPM1A	387.93	381	276	371	246	296	294	275
ENSBTAG00000018130_MAP2	MAP2	MAP2	MAP2	0	20	10	4	58	52	429	73
ENSBTAG00000018131_ATF1	ATF1	ATF1	ATF1	543	236	387	427	209	164	266	296
ENSBTAG00000018133_SEMA3A	SEMA3A	SEMA3A	SEMA3A	0	1	4	0	0	0	0	0
ENSBTAG00000018134_AREG	AREG	AREG	AREG	8	0	7	1	95	101	38	70
ENSBTAG00000018137_A2M	A2M	A2M	A2M	21	34	8	35	410	526	612	576
ENSBTAG00000018138_GK5	GK5	GK5	GK5	36	19	65	0	16	29	45	63
ENSBTAG00000018142_DTL	DTL	DTL	DTL	182	19	97	61	33	3	0	8
ENSBTAG00000018143_C16H1orf116	C16H1orf116	C16H1orf116	C16H1orf116	90	129	188	94	140	388	474	300
ENSBTAG00000018146_VAT1L	VAT1L	VAT1L	VAT1L	0	0	0	1	0	0	0	0
ENSBTAG00000018147_NXPH2	NXPH2	NXPH2	NXPH2	0	0	0	0	0	0	0	0
ENSBTAG00000018151_HELQ	HELQ	HELQ	HELQ	9	18	9	3	0	4	11	17
ENSBTAG00000018152_MYADM	MYADM	MYADM	MYADM	150	177	143	82	56	129	44	82
ENSBTAG00000018153_NRBP1	NRBP1	NRBP1	NRBP1	220.67	110.83	330.48	158.45	89.41	153	417	129
ENSBTAG00000018155_MRPS18C	MRPS18C	MRPS18C	MRPS18C	371	340	340	463	388	186	180	318
ENSBTAG00000018156_KRTCAP3	KRTCAP3	KRTCAP3	KRTCAP3	269.33	239.17	197.52	236.55	84.59	34	22	40
ENSBTAG00000018157_IFT172	IFT172	IFT172	IFT172	2	0	0	6	0	1	0	0
ENSBTAG00000018158_TMEM139	TMEM139	TMEM139	TMEM139	19	52	46	28	15	25	15	12
ENSBTAG00000018159_CASP2	CASP2	CASP2	CASP2	179	131	190	159	46	64	84	41
ENSBTAG00000018160_LAMA1	LAMA1	LAMA1	LAMA1	60	138	120	90	6	29	39	21
ENSBTAG00000018161_TBX18	TBX18	TBX18	TBX18	2	0	0	1	0	0	0	0
ENSBTAG00000018162	#VALUE!	-	ENSBTAG00000018162	0	0	0	0	0	0	0	0
ENSBTAG00000018164_FNDC4	FNDC4	FNDC4	FNDC4	4	24	23	45	28	21	50	13
ENSBTAG00000018165_RIPOR2	RIPOR2	RIPOR2	RIPOR2	0	12	0	0	1	0	0	0
ENSBTAG00000018167_KLHL31	KLHL31	KLHL31	KLHL31	0	0	0	3	0	0	0	1
ENSBTAG00000018169_ITGB4	ITGB4	ITGB4	ITGB4	297	378	294	412	49	144	105	96
ENSBTAG00000018172_OGFOD3	OGFOD3	OGFOD3	OGFOD3	49	115	128	98	66	69	14	107
ENSBTAG00000018175_HEXD	HEXD	HEXD	HEXD	36	6	30	36	10	16	10	9
ENSBTAG00000018176_CYBC1	CYBC1	CYBC1	CYBC1	103	105	99	91	44	45	96	76
ENSBTAG00000018178_NARF	NARF	NARF	NARF	24	39	72	55	14	41	82	56
ENSBTAG00000018179_PCDH8	PCDH8	PCDH8	PCDH8	0	0	0	0	0	3	0	0
ENSBTAG00000018180_C5H12orf50	C5H12orf50	C5H12orf50	C5H12orf50	0	0	0	0	0	0	0	0
ENSBTAG00000018181_CCDC8	CCDC8	CCDC8	CCDC8	16	4	54	10	2	0	0	0
ENSBTAG00000018182	#VALUE!	-	ENSBTAG00000018182	0	1	0	0	0	0	0	0
ENSBTAG00000018185_ASB4	ASB4	ASB4	ASB4	0	2	0	0	0	0	0	0
ENSBTAG00000018186_PDXK	PDXK	PDXK	PDXK	72	93	116	114	123	80	155	151
ENSBTAG00000018188_NDUFC2	NDUFC2	NDUFC2	NDUFC2	2463	2345	2314	2599	1461	1060	1100	1349
ENSBTAG00000018189_CSTB	CSTB	CSTB	CSTB	789.75	314.58	1253.35	351.39	1583.42	670.74	2662.3	1114.95
ENSBTAG00000018192_ALG8	ALG8	ALG8	ALG8	127	110	153	135	51	87	123	70
ENSBTAG00000018196_WDR43	WDR43	WDR43	WDR43	446	412	353	281	91	275	122	212
ENSBTAG00000018198_TLR9	TLR9	TLR9	TLR9	0	0	0	0	0	0	0	0
ENSBTAG00000018199_ZBTB8A	ZBTB8A	ZBTB8A	ZBTB8A	24	3	27	40	4	11	26	15
ENSBTAG00000018200_IL15	IL15	IL15	IL15	0	0	8	14	0	0	0	0
ENSBTAG00000018201_TKFC	TKFC	TKFC	TKFC	233	136	122	197	46	83	66	91
ENSBTAG00000018202_CYB561A3	CYB561A3	CYB561A3	CYB561A3	89	58	102	59	32	16	40	62
ENSBTAG00000018203_CD101	CD101	CD101	CD101	20	6	0	0	1	2	4	0
ENSBTAG00000018204_MYH1	MYH1	MYH1	MYH1	0	1	1	0	0	0	0	0
ENSBTAG00000018205_PHC1	PHC1	PHC1	PHC1	37	30	16	34	16	17	33	27
ENSBTAG00000018206_NIPAL2	NIPAL2	NIPAL2	NIPAL2	400	400	510	480	531	840	1096	1133
ENSBTAG00000018207_M6PR	M6PR	M6PR	M6PR	804	511	732	518	439	645	502	665
ENSBTAG00000018213_TBCEL	TBCEL	TBCEL	TBCEL	6	0	23	3	9	2	8	0
ENSBTAG00000018214_SHISA2	SHISA2	SHISA2	SHISA2	0	0	0	0	0	0	0	0
ENSBTAG00000018216_SKA1	SKA1	SKA1	SKA1	82	36	185	86	9	7	0	15
ENSBTAG00000018218_FAM135B	FAM135B	FAM135B	FAM135B	0	0	0	2	0	0	2	0
ENSBTAG00000018220_RGSL1	RGSL1	RGSL1	RGSL1	0	0	0	0	0	0	0	0
ENSBTAG00000018223_CHI3L1	CHI3L1	CHI3L1	CHI3L1	4	4	10	5	0	0	0	1
ENSBTAG00000018224_GLP1R	GLP1R	GLP1R	GLP1R	0	1	1	0	0	0	0	0
ENSBTAG00000018225_SIPA1L3	SIPA1L3	SIPA1L3	SIPA1L3	10	20	14	22	10	11	10	29
ENSBTAG00000018227_SLC4A7	SLC4A7	SLC4A7	SLC4A7	85	91	75	32	41	18	60	12
ENSBTAG00000018228_SAMD7	SAMD7	SAMD7	SAMD7	0	0	0	0	0	0	0	0
ENSBTAG00000018229_NFIX	NFIX	NFIX	NFIX	44	44	80	61	7	8	32	6
ENSBTAG00000018232_STOML3	STOML3	STOML3	STOML3	0	4	0	0	0	0	0	0
ENSBTAG00000018234_CDH9	CDH9	CDH9	CDH9	0	0	0	2	0	0	0	0
ENSBTAG00000018235_SLC45A2	SLC45A2	SLC45A2	SLC45A2	23	14	1	17	4	2	8	6
ENSBTAG00000018236_EPB41L5	EPB41L5	EPB41L5	EPB41L5	161	144	181	201	230	418	257	396
ENSBTAG00000018237_MYO16	MYO16	MYO16	MYO16	0	0	0	0	0	0	0	0
ENSBTAG00000018238_ABTB1	ABTB1	ABTB1	ABTB1	193	153	111	218	28	150	94	91
ENSBTAG00000018239_DNAJC27	DNAJC27	DNAJC27	DNAJC27	15	14	10	5	0	0	0	7
ENSBTAG00000018240_CYP2S1	CYP2S1	CYP2S1	CYP2S1	56	15	63	11	5	0	6	0
ENSBTAG00000018242	#VALUE!	-	ENSBTAG00000018242	0	0	0	1	0	0	0	0
ENSBTAG00000018244_VSTM2B	VSTM2B	VSTM2B	VSTM2B	0	0	0	0	0	0	0	0
ENSBTAG00000018245_SLC1A3	SLC1A3	SLC1A3	SLC1A3	4	0	15	2	0	0	0	0
ENSBTAG00000018246_RAB39A	RAB39A	RAB39A	RAB39A	0	0	0	0	3	0	0	0
ENSBTAG00000018247_OCRL	OCRL	OCRL	OCRL	112	58	156	122	11	80	46	57
ENSBTAG00000018248_MGLL	MGLL	MGLL	MGLL	16	14	9	7	0	0	3	0
ENSBTAG00000018249_KCNN3	KCNN3	KCNN3	KCNN3	2	7	0	0	27	56	34	23
ENSBTAG00000018250_CLEC19A	CLEC19A	CLEC19A	CLEC19A	0	0	0	0	0	0	0	0
ENSBTAG00000018252_ARRDC4	ARRDC4	ARRDC4	ARRDC4	146	151	40	111	2599	2113	2638	1240
ENSBTAG00000018253_CHRNA1	CHRNA1	CHRNA1	CHRNA1	0	0	0	0	0	0	0	0
ENSBTAG00000018254_CDKN1B	CDKN1B	CDKN1B	CDKN1B	286	188	200	244	127	84	142	108
ENSBTAG00000018255_ACTN1	ACTN1	ACTN1	ACTN1	276	224	370	224.35	54	30	28	41
ENSBTAG00000018256_SMC6	SMC6	SMC6	SMC6	171	121	162	154	65	54	62	70
ENSBTAG00000018257_APIP	APIP	APIP	APIP	250	261	264	202	90	81	38	133
ENSBTAG00000018258_SRSF2	SRSF2	SRSF2	SRSF2	811	616	909	857	314	304	388	347
ENSBTAG00000018260_MFSD11	MFSD11	MFSD11	MFSD11	126	37	80	66	54	81	88	134
ENSBTAG00000018261_PDHX	PDHX	PDHX	PDHX	681	565	489	457	61	174	134	89
ENSBTAG00000018262_DNAJC5G	DNAJC5G	DNAJC5G	DNAJC5G	0	0	0	0	0	0	0	0
ENSBTAG00000018263_WAC	WAC	WAC	WAC	242	215	209	195	143	172	184	194
ENSBTAG00000018267_TRIM54	TRIM54	TRIM54	TRIM54	0	0	0	0	0	0	0	0
ENSBTAG00000018269_MPV17	MPV17	MPV17	MPV17	475	499	280	413	231	138	251	227
ENSBTAG00000018270_NFATC2	NFATC2	NFATC2	NFATC2	0	0	0	0	2	0	0	0
ENSBTAG00000018271_SLC38A10	SLC38A10	SLC38A10	SLC38A10	248	116	280	149	115	187	274	115
ENSBTAG00000018272_RERE	RERE	RERE	RERE	37	36	45	62	6	9	23	10
ENSBTAG00000018274_FADD	FADD	FADD	FADD	113	76	182	87	166	199	349	225
ENSBTAG00000018275	#VALUE!	-	ENSBTAG00000018275	2.1	1.03	0	0	0	0	0	0
ENSBTAG00000018277_TBPL2	TBPL2	TBPL2	TBPL2	0	0	0	0	0	0	0	0
ENSBTAG00000018278_ATP5PO	ATP5PO	ATP5PO	ATP5PO	6259	4928	5742	5929	3586	2640	2921	3168
